,study,subj,run,state,instruction,cot,errors,ipt,ed,pd,pd_ed,streets,turns,sum_deviation,sum_target_deviation,segment_pdist,segment_edist,pdist_to_dest,edist_to_dest,turn,start,goal,rt,rt_mode,rt_log,cot_log,ipt_log,cot_total,cot_log_total,state_ix,H,degree,H_total,N_dis_avg,N_dis_start,N_dis_sym_start,N_dis_goal,N_dis_sym_goal,TH_dis,rt_z,rt_log_z,cot_z,cot_log_z,ipt_z,ipt_log_z,cot_log_total_z,ed_z,pd_z,pd_ed_z,segment_pdist_z,segment_edist_z,pdist_to_dest_z,edist_to_dest_z,degree_z,sum_deviation_z,sum_target_deviation_z,H_z,H_total_z,N_dis_avg_z,N_dis_start_z,N_dis_goal_z,N_dis_sym_start_z,N_dis_sym_goal_z,TH_dis_z,rt_speed,step,steps
47,1,10,1,292535,wandsworth bridge road,5.1,0.0,15.0,853.1911671,3136.993,3.676776227,9,36,1587.996073,4698.674489,1478.537,1284.459547,1285.423,839.3695611,0.0,1119535815,3738719792,5.1,cot,1.62924053973028,1.62924053973028,2.70805020110221,8.799999999999999,-0.3776943111628078,10949,0.6931471805599453,0,1.791759469228055,0.4170118750982683,0.4170118760361204,1.0000278355411798,0.41701189658057225,1.0000120733305575,0.2890506054843807,1.082697599111773,1.1218813655429587,1.293925635344799,1.3151469033001424,3.750726735101203,2.6204713870831142,-0.36722614993725794,-1.1514797069340839,-0.8618480701246765,1.1777452833172266,0.6403828410053095,0.6965364250843568,-0.7104686198496529,-0.7484150135317388,,-0.3076827938799839,0.09731943329942153,-0.031431968309649005,-1.173276998938725,0.023161102042136963,-0.06811914077643529,0.0017522430489794781,0.0631402374983527,0.03783626362156189,-0.03143192039419073,slow,3,2
48,1,10,1,292523,york road,2.4,0.0,15.0,853.1911671,3136.993,3.676776227,9,36,1587.996073,4698.674489,150.61,137.9312819,1134.813,858.2543066,0.0,1119535815,3738719792,2.4,cot,0.8754687373538999,0.8754687373538999,2.70805020110221,8.799999999999999,-0.3776943111628078,10950,1.0986122886681096,0,1.791759469228055,0.4170118737984005,0.4170118760179668,1.000035446864358,0.4170077922812023,1.0,0.45813436907543764,-0.0008918431623658642,0.5048833429375646,0.15945128562117408,0.6820553704892324,3.750726735101203,2.6204713870831142,-0.36722614993725794,-1.1514797069340839,-0.8618480701246765,1.1777452833172266,-0.4115183445283847,-0.40859536888498404,-0.7573399710817335,-0.7402278519698825,,-0.3076827938799839,0.09731943329942153,0.6944056476634518,-1.173276998938725,0.01628648803827896,-0.06811954379427841,-0.01348551615903675,0.06363893858052863,0.03704575615701439,0.6944057556806476,slow,5,2
52,1,11,1,292535,wandsworth bridge road,0.7,0.0,5.8,853.1911671,2914.342,3.415813609,8,31,1212.86345,4236.052379,387.88,387.8214293,1144.496,839.3695611,1.0,1119535815,3738719792,0.7,cot,-0.35667494393873245,-0.35667494393873245,1.7578579175523736,4.4,-0.7133498878774647,10949,0.6931471805599453,0,1.791759469228055,0.4170118750982683,0.4170118760361204,1.0000278355411798,0.41701189658057225,1.0000120733305575,0.2890506054843807,-0.6721200428536704,-0.2470981907149905,-0.5960108159950521,-0.07706946006594459,-0.23028993519173868,0.08248779658524175,-0.2113962869803529,-1.1514797069340839,-0.9118618898448281,1.0159689785061499,-0.22356780636508236,-0.16772773805746294,-0.7543265238074472,-0.7484150135317388,,-0.6128734829303067,-0.05259997365636267,-0.031431968309649005,-1.173276998938725,0.023161102042136963,-0.06811914077643529,0.0017522430489794781,0.0631402374983527,0.03783626362156189,-0.03143192039419073,fast,3,2
53,1,11,1,292523,york road,3.5,0.0,5.8,853.1911671,2914.342,3.415813609,8,31,1212.86345,4236.052379,150.61,137.9312819,993.886,858.2543066,0.0,1119535815,3738719792,3.5,cot,1.252762968495368,1.252762968495368,1.7578579175523736,4.4,-0.7133498878774647,10950,1.0986122886681096,0,1.791759469228055,0.4170118737984005,0.4170118760179668,1.000035446864358,0.4170077922812023,1.0,0.45813436907543764,0.23967071295557194,0.7325473139260109,0.5025921927983353,0.9116656587950407,-0.23028993519173868,0.08248779658524175,-0.2113962869803529,-1.1514797069340839,-0.9118618898448281,1.0159689785061499,-0.4115183445283847,-0.40859536888498404,-0.8011978750395278,-0.7402278519698825,,-0.6128734829303067,-0.05259997365636267,0.6944056476634518,-1.173276998938725,0.01628648803827896,-0.06811954379427841,-0.01348551615903675,0.06363893858052863,0.03704575615701439,0.6944057556806476,slow,5,2
57,1,12,1,2793814639,wandsworth bridge,2.2,0.0,4.69,853.1911671,3055.269,3.580989956,9,34,1305.268684,4516.335473,33.766,33.75361248,1639.537,807.923431,1.0,1119535815,3738719792,2.2,cot,0.7884573603642703,0.7884573603642703,1.545432582458188,7.2,0.34217025773585097,10958,0.0,0,1.0986122886681096,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,0.08792321894562781,0.8105625640981565,0.3325279109791175,1.1001014730303185,-1.3117741490448855,-1.151510330529109,1.0568123892433385,-1.1514797069340839,-0.8802056315226028,1.1183653265526434,-0.5040748947924422,-0.5090116064974322,-0.6002647710335256,-0.7620479506355962,,-0.5376968245773587,0.038229829597555186,-1.2722595685032863,-1.337847097170165,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,slow,4,1
62,1,13,1,2793814639,wandsworth bridge,0.1,0.0,15.2,853.1911671,3055.269,3.580989956,9,34,1305.268684,4516.335473,33.766,33.75361248,1639.537,807.923431,1.0,1119535815,3738719792,0.1,cot,-2.3025850929940455,-2.3025850929940455,2.7212954278522306,4.3,-3.170085660698768,10958,0.0,0,1.0986122886681096,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,-0.7454028998251845,-1.381687723436252,-0.7839561856371541,-1.345440310621928,-0.5794645138001134,-0.3565180364036312,-0.09984398513364491,-1.1514797069340839,-0.8802056315226028,1.1183653265526434,-0.5040748947924422,-0.5090116064974322,-0.6002647710335256,-0.7620479506355962,,-0.5376968245773587,0.038229829597555186,-1.2722595685032863,-1.337847097170165,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,fast,4,2
63,1,13,1,292523,york road,2.0,0.0,15.2,853.1911671,3055.269,3.580989956,9,34,1305.268684,4516.335473,504.724,489.0194488,1134.813,858.2543066,0.0,1119535815,3738719792,2.0,cot,0.6931471805599453,0.6931471805599453,2.7212954278522306,4.3,-3.170085660698768,10950,1.0986122886681096,0,1.0986122886681096,0.4170118737984005,0.4170118760179668,1.000035446864358,0.4170077922812023,1.0,0.45813436907543764,-0.10476583567817624,0.5321192689514596,0.12300951858943622,0.6898339994530994,-0.5794645138001134,-0.3565180364036312,-0.09984398513364491,-1.1514797069340839,-0.8802056315226028,1.1183653265526434,-0.13101125610102496,-0.07018356732877623,-0.7573399710817335,-0.7402278519698825,,-0.5376968245773587,0.038229829597555186,0.6944056476634518,-1.337847097170165,0.01628648803827896,-0.06811954379427841,-0.01348551615903675,0.06363893858052863,0.03704575615701439,0.6944057556806476,slow,5,2
68,1,14,1,292535,wandsworth bridge road,0.3,0.0,3.0,853.1911671,3622.57,4.245906591,8,33,1572.863449,4435.803941,387.88,387.8214293,1852.724,839.3695611,1.0,1119535815,3738719792,0.3,cot,-1.2039728043259361,-1.2039728043259361,1.0986122886681098,12.3,-4.570768759270758,10949,0.6931471805599453,0,2.8903717578961645,0.4170118750982683,0.4170118760361204,1.0000278355411798,0.41701189658057225,1.0000120733305575,0.2890506054843807,-0.38202544701288926,-0.07785368417403582,-0.42335502918592877,0.019597066860241173,-1.1160043839181255,-1.4420659396195925,0.6222180927101446,-1.1514797069340839,-0.7527735070719525,1.5305613607666915,-0.22356780636508236,-0.16772773805746294,-0.5339188261751926,-0.7484150135317388,,-0.3199940024034278,0.012132418216415738,-0.031431968309649005,-0.9124395645018959,0.023161102042136963,-0.06811914077643529,0.0017522430489794781,0.0631402374983527,0.03783626362156189,-0.03143192039419073,slow,3,4
69,1,14,1,2793814639,wandsworth bridge,0.1,0.0,3.0,853.1911671,3622.57,4.245906591,8,33,1572.863449,4435.803941,354.114,354.0942974,1498.61,807.923431,1.0,1119535815,3738719792,0.1,cot,-2.3025850929940455,-2.3025850929940455,1.0986122886681098,12.3,-4.570768759270758,10958,0.0,0,2.8903717578961645,0.4170118762116017,0.41701187605166196,1.0000283608852736,0.41701187603499107,1.0000125000557898,0.0,-0.4735523770263939,-0.8192605035403528,-0.5974449477296752,-0.7948915708139047,-1.1160043839181255,-1.4420659396195925,0.6222180927101446,-1.1514797069340839,-0.7527735070719525,1.5305613607666915,-0.25031513165535113,-0.20023712043962044,-0.6441226749913199,-0.7620479506355962,,-0.3199940024034278,0.012132418216415738,-1.2722595685032863,-0.9124395645018959,0.029049190839902823,-0.0681187957466469,0.0016759648366453173,0.06317465853947148,0.03786420367338154,-1.2722596338122318,slow,4,4
70,1,14,1,292523,york road,0.1,0.0,3.0,853.1911671,3622.57,4.245906591,8,33,1572.863449,4435.803941,504.724,489.0194488,993.886,858.2543066,1.0,1119535815,3738719792,0.1,cot,-2.3025850929940455,-2.3025850929940455,1.0986122886681098,12.3,-4.570768759270758,10950,1.0986122886681096,0,2.8903717578961645,0.4170118737984005,0.4170118760179668,1.000035446864358,0.4170077922812023,1.0,0.45813436907543764,-0.4735523770263939,-0.8192605035403528,-0.5974449477296752,-0.7948915708139047,-1.1160043839181255,-1.4420659396195925,0.6222180927101446,-1.1514797069340839,-0.7527735070719525,1.5305613607666915,-0.13101125610102496,-0.07018356732877623,-0.8011978750395278,-0.7402278519698825,,-0.3199940024034278,0.012132418216415738,0.6944056476634518,-0.9124395645018959,0.01628648803827896,-0.06811954379427841,-0.01348551615903675,0.06363893858052863,0.03704575615701439,0.6944057556806476,slow,5,4
